sequence_name	Centre	Cluster
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453	8
AT1G21440	1453	8
AT1G21440	1453	8
AT1G21440	1453	8
AT1G21440	1453	8
AT1G21440	1453	8
AT1G21440	1452.5	8
AT1G21440	1452.5	8
AT1G21440	1452.5	8
AT1G21440	1452.5	8
AT1G21440	1338	18
AT1G21440	1337	18
AT1G21440	1336.5	18
AT1G21440	1335.5	18
AT1G21440	1335.5	18
AT1G21440	1335.5	18
AT1G21440	1335	18
AT1G21440	1335	18
AT1G21440	1326.5	8
AT1G21440	1326.5	8
AT1G21440	1223	18
AT1G21440	1221.5	18
AT1G21440	1221	18
AT1G21440	1220.5	18
AT1G21440	1162	18
AT1G21440	1106.5	18
AT1G21440	809.5	18
AT1G21440	809	18
AT1G21440	808.5	18
AT1G21440	460	18
AT1G21440	144.5	8
AT1G24100	1432	18
AT1G24100	1431.5	18
AT1G24100	1424.5	18
AT1G24100	1424	18
AT1G24100	1424	18
AT1G24100	1423.5	18
AT1G24100	1423.5	18
AT1G24100	1423.5	18
AT1G24100	1423	18
AT1G24100	1422	18
AT1G24100	599	18
AT1G24100	554	18
AT1G24100	554	18
AT1G24100	551.5	18
AT1G24100	497.5	8
AT1G24100	497.5	8
AT1G24100	497.5	8
AT1G24100	497.5	8
AT1G24100	496.5	8
AT1G24100	444	8
AT1G24100	443	8
AT1G24100	383	18
AT1G24100	372.5	8
AT1G24100	353	18
AT1G24100	266	18
AT1G24100	265.5	18
AT1G24100	264.5	18
AT1G24100	264	18
AT1G24100	263	18
AT1G43040	1465	18
AT1G43040	1421	18
AT1G43040	1376	18
AT1G43040	1376	18
AT1G43040	1113	18
AT1G52030	1025	8
AT1G52030	1024.5	8
AT1G52030	1024.5	8
AT1G52030	1024.5	8
AT1G52030	1023.5	8
AT1G52030	975.5	18
AT1G52030	975	18
AT1G52030	974.5	18
AT1G52030	974.5	18
AT1G52030	974.5	18
AT1G52030	973.5	18
AT1G52030	813.5	8
AT1G52030	813	8
AT1G52040	1390.5	8
AT1G52040	1390	8
AT1G52040	1390	8
AT1G52040	1390	8
AT1G52040	1390	8
AT1G52040	1389.5	8
AT1G52040	1389.5	8
AT1G52040	1389.5	8
AT1G52040	1389.5	8
AT1G52040	1389.5	8
AT1G52040	1389.5	8
AT1G52040	1389.5	8
AT1G52040	1389.5	8
AT1G52040	1389.5	8
AT1G52040	1389.5	8
AT1G52040	1389.5	8
AT1G52040	1389.5	8
AT1G52040	1389.5	8
AT1G52040	1389.5	8
AT1G52040	1389.5	8
AT1G52040	1389.5	8
AT1G52040	1389	8
AT1G52040	1389	8
AT1G52040	1388.5	8
AT1G52040	1388.5	8
AT1G52040	1272.5	8
AT1G52040	1180.5	8
AT1G52040	1180.5	8
AT1G52040	1180.5	8
AT1G52040	1180	8
AT1G52040	1179.5	8
AT1G52040	1179.5	8
AT1G52040	1179.5	8
AT1G52040	1179.5	8
AT1G52040	1179.5	8
AT1G52040	1179.5	8
AT1G52040	1179.5	8
AT1G52040	1179.5	8
AT1G52040	1179.5	8
AT1G52040	1179.5	8
AT1G52040	1179.5	8
AT1G52040	1179.5	8
AT1G52040	1179.5	8
AT1G52040	1179.5	8
AT1G52040	1179	8
AT1G52040	1179	8
AT1G52040	1179	8
AT1G52040	1119.5	8
AT1G52040	1003.5	8
AT1G52040	558	8
AT1G52040	506.5	18
AT1G52040	506	18
AT1G52040	505.5	18
AT1G52040	505.5	18
AT1G52040	505	18
AT1G52040	475.5	18
AT1G52040	475	18
AT1G52040	474.5	18
AT1G52040	474.5	18
AT1G52040	474.5	18
AT1G52040	474	18
AT1G52040	473.5	18
AT1G62560	1443.5	8
AT1G62560	1443.5	8
AT1G62560	1443.5	8
AT1G62560	1443.5	8
AT1G62560	1443	8
AT1G62560	1443	8
AT1G62560	1443	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442.5	8
AT1G62560	1442	8
AT1G62560	1442	8
AT1G62560	1442	8
AT1G62560	1442	8
AT1G62560	1441.5	8
AT1G62560	1441.5	8
AT1G62560	1441.5	8
AT1G62560	1441.5	8
AT1G62560	1438	18
AT1G62560	1438	18
AT1G62560	1437	18
AT1G62560	1436.5	18
AT1G62560	1426	8
AT1G62560	1425.5	8
AT1G62560	1271	18
AT1G62560	1105.5	18
AT1G62560	1102	18
AT1G62560	1101	18
AT1G62560	1100.5	18
AT1G62560	1100.5	18
AT1G62560	1100.5	18
AT1G62560	1100	18
AT1G62560	1099.5	18
AT1G62560	1081.5	8
AT1G62560	1081	8
AT1G62560	1081	8
AT1G62560	1081	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080.5	8
AT1G62560	1080	8
AT1G62560	1080	8
AT1G62560	1080	8
AT1G62560	1080	8
AT1G62560	1080	8
AT1G62560	1079.5	8
AT1G62560	1079.5	8
AT1G62560	1079.5	8
AT1G62560	276.5	8
AT1G62560	275.5	8
AT1G62560	275.5	8
AT1G62560	275.5	8
AT1G62560	275.5	8
AT1G62560	27	18
AT1G65860	1403	18
AT1G65860	1403	18
AT1G65860	1402.5	18
AT1G65860	1402.5	18
AT1G65860	1402.5	18
AT1G65860	1402	18
AT1G65860	1401.5	18
AT1G65860	1401	18
AT1G65860	1400	18
AT1G65860	444.5	18
AT1G65860	443	18
AT1G65860	442	18
AT1G65860	442	18
AT1G65860	384	18
AT1G65860	223	8
AT1G74090	1476.5	8
AT1G74090	1476.5	8
AT1G74090	1476.5	8
AT1G74090	1476.5	8
AT1G74090	1476.5	8
AT1G74090	1476	8
AT1G74090	1476	8
AT1G74090	1476	8
AT1G74090	1476	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475.5	8
AT1G74090	1475	8
AT1G74090	1475	8
AT1G74090	1475	8
AT1G74090	1475	8
AT1G74090	1474.5	8
AT1G74090	1474.5	8
AT1G74090	1453	18
AT1G74090	1453	18
AT1G74090	1451.5	18
AT1G74090	1451	18
AT1G74090	1450.5	18
AT1G74090	1444	18
AT1G74090	1443.5	18
AT1G74090	1443.5	18
AT1G74090	1443	18
AT1G74090	1442.5	18
AT1G74090	1434.5	8
AT1G74090	1434.5	8
AT1G74090	1434.5	8
AT1G74090	1434.5	8
AT1G74090	1434.5	8
AT1G74090	1434.5	8
AT1G74090	1434.5	8
AT1G74090	1434.5	8
AT1G74090	1434.5	8
AT1G74090	1434.5	8
AT1G74090	1434.5	8
AT1G74090	1434.5	8
AT1G74090	1434.5	8
AT1G74090	1434.5	8
AT1G74090	1433.5	8
AT1G74090	1344	18
AT1G74090	1093	18
AT1G74090	1091.5	18
AT1G74090	307	18
AT1G74090	301	18
AT1G74090	300	18
AT1G74090	299	18
AT1G74090	52.5	18
AT1G75700	1023	18
AT1G75700	916.5	8
AT1G75700	916.5	8
AT1G75700	916.5	8
AT1G75700	916.5	8
AT1G75700	916.5	8
AT1G75700	916	8
AT1G75700	916	8
AT1G75700	915.5	8
AT1G75700	915.5	8
AT1G75700	915.5	8
AT1G75700	915.5	8
AT1G75700	915.5	8
AT1G75700	915.5	8
AT1G75700	915.5	8
AT1G75700	915.5	8
AT1G75700	915.5	8
AT1G75700	915.5	8
AT1G75700	915.5	8
AT1G75700	915.5	8
AT1G75700	915.5	8
AT1G75700	915.5	8
AT1G75700	915.5	8
AT1G75700	915.5	8
AT1G75700	915	8
AT1G75700	915	8
AT1G75700	915	8
AT1G75700	914.5	8
AT1G75700	914.5	8
AT1G75700	914.5	8
AT1G75700	914.5	8
AT1G75700	792.5	18
AT1G75700	792	18
AT1G75700	170	18
AT1G75700	167	18
AT1G75700	111	18
AT1G75700	110	18
AT1G75700	109.5	18
AT1G78370	1105	8
AT1G78370	1097.5	18
AT1G78370	1097.5	18
AT1G78370	1097	18
AT1G78370	1097	18
AT1G78370	1096.5	18
AT1G78370	1096.5	18
AT1G78370	1095	18
AT1G78370	1063	18
AT1G78370	1063	18
AT1G78370	1062.5	18
AT1G78370	1062	18
AT1G78370	1061.5	18
AT1G78370	1061.5	18
AT1G78370	1061.5	18
AT1G78370	1061	18
AT1G78370	1061	18
AT1G78370	1060.5	18
AT1G78370	1060.5	18
AT1G78370	1057.5	18
AT1G78370	1042.5	8
AT1G78370	1042.5	8
AT1G78370	1042	8
AT1G78370	1041.5	8
AT1G78370	1041.5	8
AT1G78370	1041.5	8
AT1G78370	1041.5	8
AT1G78370	1041.5	8
AT1G78370	1041.5	8
AT1G78370	1041.5	8
AT1G78370	1041.5	8
AT1G78370	1041.5	8
AT1G78370	1041.5	8
AT1G78370	1041.5	8
AT1G78370	1041.5	8
AT1G78370	1041.5	8
AT1G78370	1041.5	8
AT1G78370	1041.5	8
AT1G78370	1041.5	8
AT1G78370	1041	8
AT1G78370	1040.5	8
AT1G78370	1040.5	8
AT1G78370	981	18
AT1G78370	624	8
AT1G78370	587.5	18
AT2G14750	1421	18
AT2G14750	1420.5	18
AT2G14750	1420.5	18
AT2G14750	1420.5	18
AT2G14750	1420	18
AT2G14750	1419.5	18
AT2G14750	1403.5	18
AT2G14750	1403	18
AT2G14750	1402.5	18
AT2G14750	1395.5	8
AT2G14750	1395	8
AT2G20610	1445.5	8
AT2G20610	1445.5	8
AT2G20610	1445.5	8
AT2G20610	1445.5	8
AT2G20610	1421.5	18
AT2G20610	1421.5	18
AT2G20610	1420	18
AT2G20610	1420	18
AT2G20610	1402.5	8
AT2G20610	1402.5	8
AT2G20610	1402.5	8
AT2G20610	1402.5	8
AT2G20610	1402	8
AT2G20610	1402	8
AT2G20610	1402	8
AT2G20610	1402	8
AT2G20610	1402	8
AT2G20610	1402	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401.5	8
AT2G20610	1401	8
AT2G20610	1401	8
AT2G20610	1401	8
AT2G20610	1401	8
AT2G20610	1400.5	8
AT2G20610	1400.5	8
AT2G20610	1400.5	8
AT2G20610	1400.5	8
AT2G20610	1400.5	8
AT2G20610	1400.5	8
AT2G20610	1400.5	8
AT2G20610	1400.5	8
AT2G20610	1263	18
AT2G20610	1263	18
AT2G20610	772	18
AT2G20610	772	18
AT2G20610	233	18
AT2G20610	233	18
AT2G20610	232.5	18
AT2G20610	232.5	18
AT2G20610	231.5	18
AT2G20610	231.5	18
AT2G20610	231.5	18
AT2G20610	231.5	18
AT2G20610	231.5	18
AT2G20610	231.5	18
AT2G20610	231	18
AT2G20610	231	18
AT2G20610	230.5	18
AT2G20610	230.5	18
AT2G20610	109	18
AT2G20610	109	18
AT2G20610	108	18
AT2G20610	108	18
AT2G20610	107.5	18
AT2G20610	107.5	18
AT2G20610	106.5	18
AT2G20610	106.5	18
AT2G20610	106.5	18
AT2G20610	106.5	18
AT2G20610	106.5	18
AT2G20610	106.5	18
AT2G20610	106	18
AT2G20610	106	18
AT2G20610	106	18
AT2G20610	106	18
AT2G27180	1389.5	18
AT2G27180	1389	18
AT2G27180	903.5	8
AT2G27180	903.5	8
AT2G27180	903.5	8
AT2G27180	903	8
AT2G27180	903	8
AT2G27180	903	8
AT2G27180	903	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902.5	8
AT2G27180	902	8
AT2G27180	902	8
AT2G27180	902	8
AT2G27180	902	8
AT2G27180	902	8
AT2G27180	901.5	8
AT2G27180	901.5	8
AT2G27180	901.5	8
AT2G27180	412	18
AT2G27180	407	18
AT2G27180	398.5	8
AT2G27180	398.5	8
AT2G27180	398.5	8
AT2G27180	398.5	8
AT2G27180	398.5	8
AT2G27180	398	8
AT2G27180	397.5	8
AT2G27180	397.5	8
AT2G27180	397.5	8
AT2G27180	397.5	8
AT2G27180	397.5	8
AT2G27180	397.5	8
AT2G27180	397.5	8
AT2G27180	397.5	8
AT2G27180	397.5	8
AT2G27180	397.5	8
AT2G27180	397.5	8
AT2G27180	397.5	8
AT2G27180	397.5	8
AT2G27180	397.5	8
AT2G27180	397.5	8
AT2G27180	397.5	8
AT2G27180	397	8
AT2G27180	397	8
AT2G27180	397	8
AT2G27180	397	8
AT2G27180	397	8
AT2G27180	396.5	8
AT2G27180	396.5	8
AT2G27180	396.5	8
AT2G27180	303.5	18
AT2G27180	303	18
AT2G27180	302.5	18
AT2G27180	302.5	18
AT2G27180	302.5	18
AT2G27180	302	18
AT2G27180	301.5	18
AT2G27180	301	18
AT2G27180	300	18
AT2G31790	1185	8
AT2G31790	1184.5	8
AT2G31790	1177	18
AT2G31790	1177	18
AT2G31790	1152	18
AT2G31790	1150.5	18
AT2G31790	1149	18
AT2G31790	1149	18
AT2G31790	1148.5	18
AT2G31790	1146	18
AT2G31790	1145.5	18
AT2G31790	1145	18
AT2G31790	1144.5	18
AT2G31790	616.5	8
AT2G31790	616	8
AT2G31790	616	8
AT2G31790	446	18
AT2G32487	1305.5	18
AT2G32487	1128	18
AT2G32487	1127.5	18
AT2G32487	1127.5	18
AT2G32487	1127.5	18
AT2G32487	1126.5	18
AT2G32487	1124	18
AT2G32487	1077.5	8
AT2G32487	1077	8
AT2G32487	1046	18
AT2G32487	1044.5	18
AT2G32487	565.5	8
AT2G32487	565.5	8
AT2G32487	565	8
AT2G32487	565	8
AT2G32487	565	8
AT2G32487	565	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564.5	8
AT2G32487	564	8
AT2G32487	564	8
AT2G32487	563.5	8
AT2G32487	563.5	8
AT2G32487	563.5	8
AT2G32487	563.5	8
AT2G32487	556.5	18
AT2G32487	556	18
AT2G32487	555.5	18
AT2G32487	555.5	18
AT2G32487	555	18
AT2G32487	554	18
AT2G38860	1424.5	18
AT2G38860	1424.5	18
AT2G38860	1424	18
AT2G38860	1424	18
AT2G38860	1423.5	18
AT2G38860	1423.5	18
AT2G38860	1423	18
AT2G38860	1423	18
AT2G38860	1410.5	18
AT2G38860	1410.5	18
AT2G38860	1409.5	18
AT2G38860	1409.5	18
AT2G38860	1409.5	18
AT2G38860	1409.5	18
AT2G38860	1408	18
AT2G38860	1408	18
AT2G38860	1400	18
AT2G38860	1400	18
AT2G38860	1329	18
AT2G38860	1329	18
AT2G38860	1212.5	18
AT2G38860	1212.5	18
AT2G38860	1212	18
AT2G38860	1212	18
AT2G38860	1211.5	18
AT2G38860	1211.5	18
AT2G38860	1211.5	18
AT2G38860	1211.5	18
AT2G38860	1211.5	18
AT2G38860	1211.5	18
AT2G38860	1211	18
AT2G38860	1211	18
AT2G38860	1210.5	18
AT2G38860	1210.5	18
AT2G38860	850.5	8
AT2G38860	850.5	8
AT2G38860	850.5	8
AT2G38860	850.5	8
AT2G38860	827.5	8
AT2G38860	827.5	8
AT2G38860	827.5	8
AT2G38860	827.5	8
AT2G38860	774.5	8
AT2G38860	774.5	8
AT2G38860	774	8
AT2G38860	774	8
AT2G38860	774	8
AT2G38860	774	8
AT2G38860	774	8
AT2G38860	774	8
AT2G38860	774	8
AT2G38860	774	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773.5	8
AT2G38860	773	8
AT2G38860	773	8
AT2G38860	773	8
AT2G38860	773	8
AT2G38860	772.5	8
AT2G38860	772.5	8
AT2G38860	772.5	8
AT2G38860	772.5	8
AT2G38860	435.5	8
AT2G38860	435.5	8
AT2G38860	435.5	8
AT2G38860	435.5	8
AT2G38860	435.5	8
AT2G38860	435.5	8
AT2G38860	435	8
AT2G38860	435	8
AT2G38860	435	8
AT2G38860	435	8
AT2G38860	435	8
AT2G38860	435	8
AT2G38860	435	8
AT2G38860	435	8
AT2G38860	435	8
AT2G38860	435	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434.5	8
AT2G38860	434	8
AT2G38860	434	8
AT2G38860	434	8
AT2G38860	434	8
AT2G38860	434	8
AT2G38860	434	8
AT2G38860	433.5	8
AT2G38860	433.5	8
AT2G38860	242.5	18
AT2G38860	242.5	18
AT2G38860	242	18
AT2G38860	242	18
AT2G38860	241	18
AT2G38860	241	18
AT2G38860	240.5	18
AT2G38860	240.5	18
AT2G38860	240	18
AT2G38860	240	18
AT2G38860	240	18
AT2G38860	240	18
AT2G38860	6	8
AT2G38860	6	8
AT2G38860	6	8
AT2G38860	6	8
AT2G39330	118	18
AT2G41240	1299.5	8
AT2G41240	1299.5	8
AT2G41240	1299	8
AT2G41240	1299	8
AT2G41240	1279.5	8
AT2G41240	1279.5	8
AT2G41240	1279.5	8
AT2G41240	1279.5	8
AT2G41240	1279.5	8
AT2G41240	1279.5	8
AT2G41240	1279.5	8
AT2G41240	1279.5	8
AT2G41240	1279	8
AT2G41240	1279	8
AT2G41240	1279	8
AT2G41240	1279	8
AT2G41240	1279	8
AT2G41240	1279	8
AT2G41240	1279	8
AT2G41240	1279	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278.5	8
AT2G41240	1278	8
AT2G41240	1278	8
AT2G41240	1278	8
AT2G41240	1278	8
AT2G41240	1278	8
AT2G41240	1278	8
AT2G41240	1277.5	8
